,Course Name,Course Number,Student ID,Grade,Certificate Eligible,Certificate Delivered,Pass,Attempt,learner cluster
185,General Physics I,ku002,162326,0.0,0,0,0,0.0,0
186,General Physics I,ku002,162329,0.16,0,0,0,0.27,2
187,General Physics I,ku002,162278,0.0,0,0,0,0.0,0
188,General Physics I,ku002,162313,0.17,0,0,0,0.27,2
189,General Physics I,ku002,162349,0.0,0,0,0,0.0,0
190,General Physics I,ku002,162353,0.0,0,0,0,0.0,0
191,General Physics I,ku002,162367,0.0,0,0,0,0.0,0
192,General Physics I,ku002,162379,0.0,0,0,0,0.0,0
193,General Physics I,ku002,162382,0.0,0,0,0,0.0,0
194,General Physics I,ku002,162332,0.0,0,0,0,0.0,0
195,General Physics I,ku002,162406,0.0,0,0,0,0.0,0
196,General Physics I,ku002,162416,0.0,0,0,0,0.0,0
197,General Physics I,ku002,162430,0.0,0,0,0,0.0,0
198,General Physics I,ku002,162401,0.0,0,0,0,0.0,0
199,General Physics I,ku002,162344,0.06,0,0,0,0.13,0
200,General Physics I,ku002,162524,0.0,0,0,0,0.0,0
201,General Physics I,ku002,161599,0.17,0,0,0,0.27,2
202,General Physics I,ku002,162527,0.17,0,0,0,0.27,2
203,General Physics I,ku002,162523,0.47,0,0,0,0.47,2
204,General Physics I,ku002,162536,0.29,0,0,0,0.47,2
205,General Physics I,ku002,162533,0.16,0,0,0,0.27,2
206,General Physics I,ku002,162530,0.0,0,0,0,0.07,0
207,General Physics I,ku002,162544,0.0,0,0,0,0.0,0
208,General Physics I,ku002,162539,0.0,0,0,0,0.0,0
209,General Physics I,ku002,162547,0.18,0,0,0,0.27,2
210,General Physics I,ku002,162559,0.0,0,0,0,0.0,0
211,General Physics I,ku002,162541,0.0,0,0,0,0.0,0
212,General Physics I,ku002,162560,0.13,0,0,0,0.27,2
213,General Physics I,ku002,162554,0.18,0,0,0,0.27,2
214,General Physics I,ku002,162577,0.0,0,0,0,0.0,0
215,General Physics I,ku002,162578,0.0,0,0,0,0.0,0
216,General Physics I,ku002,162557,0.18,0,0,0,0.27,2
217,General Physics I,ku002,162562,0.0,0,0,0,0.0,0
218,General Physics I,ku002,162586,0.0,0,0,0,0.0,0
219,General Physics I,ku002,162604,0.0,0,0,0,0.0,0
220,General Physics I,ku002,162605,0.18,0,0,0,0.27,2
221,General Physics I,ku002,162575,0.91,1,0,1,0.93,1
222,General Physics I,ku002,162595,0.64,1,0,1,1.0,1
223,General Physics I,ku002,162608,0.0,0,0,0,0.0,0
224,General Physics I,ku002,162568,0.17,0,0,0,0.27,2
225,General Physics I,ku002,162550,0.0,0,0,0,0.0,0
226,General Physics I,ku002,162598,0.0,0,0,0,0.0,0
227,General Physics I,ku002,162526,0.0,0,0,0,0.0,0
228,General Physics I,ku002,162581,0.0,0,0,0,0.0,0
229,General Physics I,ku002,162611,0.0,0,0,0,0.0,0
230,General Physics I,ku002,162617,0.0,0,0,0,0.0,0
231,General Physics I,ku002,162632,0.18,0,0,0,0.27,2
232,General Physics I,ku002,162638,0.19,0,0,0,0.33,2
233,General Physics I,ku002,162565,0.12,0,0,0,0.27,2
234,General Physics I,ku002,162553,0.0,0,0,0,0.0,0
235,General Physics I,ku002,162650,0.0,0,0,0,0.0,0
236,General Physics I,ku002,162658,0.0,0,0,0,0.0,0
237,General Physics I,ku002,162655,0.18,0,0,0,0.27,2
238,General Physics I,ku002,162652,0.18,0,0,0,0.27,2
239,General Physics I,ku002,162662,0.0,0,0,0,0.0,0
240,General Physics I,ku002,162671,0.18,0,0,0,0.27,2
241,General Physics I,ku002,162661,0.0,0,0,0,0.0,0
242,General Physics I,ku002,162637,0.0,0,0,0,0.0,0
243,General Physics I,ku002,162674,0.0,0,0,0,0.0,0
244,General Physics I,ku002,162643,0.0,0,0,0,0.0,0
245,General Physics I,ku002,162677,0.18,0,0,0,0.27,2
246,General Physics I,ku002,162680,0.18,0,0,0,0.27,2
247,General Physics I,ku002,162683,0.17,0,0,0,0.27,2
248,General Physics I,ku002,162688,0.0,0,0,0,0.0,0
249,General Physics I,ku002,162689,0.04,0,0,0,0.07,0
250,General Physics I,ku002,162716,0.15,0,0,0,0.27,2
251,General Physics I,ku002,162718,0.0,0,0,0,0.0,0
252,General Physics I,ku002,162319,0.16,0,0,0,0.27,2
253,General Physics I,ku002,162740,0.2,0,0,0,0.33,2
254,General Physics I,ku002,162748,0.0,0,0,0,0.0,0
255,General Physics I,ku002,162752,0.0,0,0,0,0.0,0
256,General Physics I,ku002,162776,0.0,0,0,0,0.0,0
257,General Physics I,ku002,162743,0.0,0,0,0,0.0,0
258,General Physics I,ku002,162542,0.09,0,0,0,0.13,0
259,General Physics I,ku002,162701,0.18,0,0,0,0.27,2
260,General Physics I,ku002,162823,0.0,0,0,0,0.0,0
261,General Physics I,ku002,162829,0.0,0,0,0,0.0,0
262,General Physics I,ku002,162865,0.5,1,0,1,0.73,1
263,General Physics I,ku002,162910,0.03,0,0,0,0.07,0
264,General Physics I,ku002,162925,0.0,0,0,0,0.0,0
265,General Physics I,ku002,162947,0.2,0,0,0,0.33,2
266,General Physics I,ku002,91704,0.0,0,0,0,0.0,0
267,General Physics I,ku002,162952,0.0,0,0,0,0.0,0
268,General Physics I,ku002,162964,0.04,0,0,0,0.07,0
269,General Physics I,ku002,162613,0.6,1,0,1,0.93,1
270,General Physics I,ku002,162983,0.0,0,0,0,0.0,0
271,General Physics I,ku002,162989,0.0,0,0,0,0.0,0
272,General Physics I,ku002,163102,0.0,0,0,0,0.0,0
273,General Physics I,ku002,163135,0.16,0,0,0,0.33,2
274,General Physics I,ku002,163175,0.0,0,0,0,0.07,0
275,General Physics I,ku002,163265,0.17,0,0,0,0.27,2
276,General Physics I,ku002,163294,0.0,0,0,0,0.0,0
277,General Physics I,ku002,163298,0.0,0,0,0,0.0,0
278,General Physics I,ku002,163142,0.13,0,0,0,0.27,2
279,General Physics I,ku002,163331,0.0,0,0,0,0.0,0
280,General Physics I,ku002,162427,0.0,0,0,0,0.0,0
281,General Physics I,ku002,153902,0.18,0,0,0,0.33,2
282,General Physics I,ku002,163360,0.04,0,0,0,0.07,0
283,General Physics I,ku002,163369,0.18,0,0,0,0.27,2
284,General Physics I,ku002,163372,0.0,0,0,0,0.0,0
285,General Physics I,ku002,163366,0.17,0,0,0,0.33,2
286,General Physics I,ku002,162694,0.0,0,0,0,0.0,0
287,General Physics I,ku002,162340,0.0,0,0,0,0.0,0
288,General Physics I,ku002,163493,0.0,0,0,0,0.0,0
289,General Physics I,ku002,163495,0.17,0,0,0,0.33,2
290,General Physics I,ku002,163529,0.0,0,0,0,0.0,0
291,General Physics I,ku002,163541,0.0,0,0,0,0.0,0
292,General Physics I,ku002,163540,0.0,0,0,0,0.0,0
293,General Physics I,ku002,163552,0.14,0,0,0,0.27,2
294,General Physics I,ku002,163549,0.13,0,0,0,0.27,2
295,General Physics I,ku002,163559,0.22,0,0,0,0.33,2
296,General Physics I,ku002,162412,0.19,0,0,0,0.33,2
297,General Physics I,ku002,163571,0.16,0,0,0,0.27,2
298,General Physics I,ku002,162335,0.18,0,0,0,0.33,2
299,General Physics I,ku002,163606,0.0,0,0,0,0.0,0
300,General Physics I,ku002,162634,0.17,0,0,0,0.33,2
301,General Physics I,ku002,162587,0.6,1,0,1,1.0,1
302,General Physics I,ku002,163681,0.16,0,0,0,0.27,2
303,General Physics I,ku002,163678,0.4,0,0,0,0.4,2
304,General Physics I,ku002,163693,0.0,0,0,0,0.0,0
305,General Physics I,ku002,162592,0.62,1,0,1,0.93,1
306,General Physics I,ku002,163801,0.14,0,0,0,0.27,2
307,General Physics I,ku002,163823,0.11,0,0,0,0.2,0
308,General Physics I,ku002,163852,0.0,0,0,0,0.0,0
309,General Physics I,ku002,163853,0.04,0,0,0,0.07,0
310,General Physics I,ku002,163864,0.0,0,0,0,0.0,0
311,General Physics I,ku002,163876,0.16,0,0,0,0.27,2
312,General Physics I,ku002,162601,0.0,0,0,0,0.0,0
313,General Physics I,ku002,163913,0.21,0,0,0,0.4,2
314,General Physics I,ku002,163919,0.0,0,0,0,0.0,0
315,General Physics I,ku002,163921,0.0,0,0,0,0.0,0
316,General Physics I,ku002,163952,0.0,0,0,0,0.0,0
317,General Physics I,ku002,164030,0.38,0,0,0,0.33,2
318,General Physics I,ku002,164041,0.0,0,0,0,0.0,0
319,General Physics I,ku002,162599,0.17,0,0,0,0.27,2
320,General Physics I,ku002,162623,0.0,0,0,0,0.0,0
321,General Physics I,ku002,164053,0.16,0,0,0,0.27,2
322,General Physics I,ku002,161425,0.0,0,0,0,0.0,0
323,General Physics I,ku002,163553,0.0,0,0,0,0.0,0
324,General Physics I,ku002,164113,0.14,0,0,0,0.2,2
325,General Physics I,ku002,164114,0.0,0,0,0,0.0,0
326,General Physics I,ku002,164116,0.0,0,0,0,0.0,0
327,General Physics I,ku002,164119,0.0,0,0,0,0.0,0
328,General Physics I,ku002,164125,0.15,0,0,0,0.27,2
329,General Physics I,ku002,164123,0.17,0,0,0,0.27,2
330,General Physics I,ku002,164137,0.17,0,0,0,0.27,2
331,General Physics I,ku002,163999,0.0,0,0,0,0.0,0
332,General Physics I,ku002,164149,0.0,0,0,0,0.0,0
333,General Physics I,ku002,162394,0.16,0,0,0,0.33,2
334,General Physics I,ku002,164168,0.16,0,0,0,0.27,2
335,General Physics I,ku002,164171,0.18,0,0,0,0.27,2
336,General Physics I,ku002,164182,0.0,0,0,0,0.0,0
337,General Physics I,ku002,164185,0.0,0,0,0,0.0,0
338,General Physics I,ku002,164188,0.04,0,0,0,0.13,0
339,General Physics I,ku002,164192,0.1,0,0,0,0.33,2
340,General Physics I,ku002,162619,0.0,0,0,0,0.0,0
341,General Physics I,ku002,164269,0.15,0,0,0,0.27,2
342,General Physics I,ku002,164284,0.0,0,0,0,0.0,0
343,General Physics I,ku002,164363,0.0,0,0,0,0.0,0
344,General Physics I,ku002,41466,0.0,0,0,0,0.0,0
345,General Physics I,ku002,164449,0.0,0,0,0,0.0,0
346,General Physics I,ku002,164452,0.0,0,0,0,0.0,0
347,General Physics I,ku002,162355,0.11,0,0,0,0.2,0
348,General Physics I,ku002,164479,0.0,0,0,0,0.0,0
349,General Physics I,ku002,164483,0.0,0,0,0,0.0,0
350,General Physics I,ku002,164521,0.18,0,0,0,0.27,2
351,General Physics I,ku002,162859,0.95,1,1,1,1.0,1
352,General Physics I,ku002,164569,0.15,0,0,0,0.27,2
353,General Physics I,ku002,164620,0.16,0,0,0,0.27,2
354,General Physics I,ku002,164654,0.16,0,0,0,0.27,2
355,General Physics I,ku002,164657,0.12,0,0,0,0.2,0
356,General Physics I,ku002,164660,0.16,0,0,0,0.27,2
357,General Physics I,ku002,164662,0.0,0,0,0,0.0,0
358,General Physics I,ku002,164675,0.0,0,0,0,0.0,0
359,General Physics I,ku002,164681,0.0,0,0,0,0.0,0
360,General Physics I,ku002,163111,0.32,0,0,0,0.47,2
361,General Physics I,ku002,164692,0.14,0,0,0,0.27,2
362,General Physics I,ku002,164645,0.17,0,0,0,0.27,2
363,General Physics I,ku002,164701,0.04,0,0,0,0.07,0
364,General Physics I,ku002,164683,0.0,0,0,0,0.0,0
365,General Physics I,ku002,164731,0.14,0,0,0,0.33,2
366,General Physics I,ku002,164734,0.0,0,0,0,0.0,0
367,General Physics I,ku002,164750,0.14,0,0,0,0.27,2
368,General Physics I,ku002,164677,0.0,0,0,0,0.0,0
369,General Physics I,ku002,164771,0.0,0,0,0,0.0,0
370,General Physics I,ku002,162566,0.0,0,0,0,0.0,0
371,General Physics I,ku002,164807,0.0,0,0,0,0.0,0
372,General Physics I,ku002,164810,0.0,0,0,0,0.0,0
373,General Physics I,ku002,164815,0.0,0,0,0,0.0,0
374,General Physics I,ku002,164824,0.0,0,0,0,0.0,0
375,General Physics I,ku002,164830,0.0,0,0,0,0.0,0
376,General Physics I,ku002,164818,0.0,0,0,0,0.0,0
377,General Physics I,ku002,164345,0.0,0,0,0,0.0,0
378,General Physics I,ku002,162583,0.08,0,0,0,0.2,0
379,General Physics I,ku002,162646,0.08,0,0,0,0.2,0
380,General Physics I,ku002,75717,0.0,0,0,0,0.0,0
381,General Physics I,ku002,162665,0.17,0,0,0,0.27,2
382,General Physics I,ku002,164942,0.13,0,0,0,0.27,2
383,General Physics I,ku002,164944,0.03,0,0,0,0.07,0
384,General Physics I,ku002,164954,0.04,0,0,0,0.07,0
385,General Physics I,ku002,164716,0.13,0,0,0,0.2,0
386,General Physics I,ku002,165005,0.0,0,0,0,0.0,0
387,General Physics I,ku002,164975,0.0,0,0,0,0.0,0
388,General Physics I,ku002,162305,0.14,0,0,0,0.27,2
389,General Physics I,ku002,165014,0.0,0,0,0,0.0,0
390,General Physics I,ku002,165023,0.0,0,0,0,0.0,0
391,General Physics I,ku002,165028,0.0,0,0,0,0.0,0
392,General Physics I,ku002,162299,0.4,0,0,0,0.4,2
393,General Physics I,ku002,165031,0.0,0,0,0,0.0,0
394,General Physics I,ku002,165034,0.0,0,0,0,0.0,0
395,General Physics I,ku002,165046,0.14,0,0,0,0.2,2
396,General Physics I,ku002,165049,0.17,0,0,0,0.27,2
397,General Physics I,ku002,165059,0.15,0,0,0,0.27,2
398,General Physics I,ku002,164782,0.17,0,0,0,0.27,2
399,General Physics I,ku002,165073,0.04,0,0,0,0.07,0
400,General Physics I,ku002,165050,0.0,0,0,0,0.0,0
401,General Physics I,ku002,165097,0.05,0,0,0,0.07,0
402,General Physics I,ku002,165100,0.14,0,0,0,0.27,2
403,General Physics I,ku002,165101,0.15,0,0,0,0.27,2
404,General Physics I,ku002,152811,0.16,0,0,0,0.27,2
405,General Physics I,ku002,165109,0.0,0,0,0,0.0,0
406,General Physics I,ku002,165113,0.0,0,0,0,0.0,0
407,General Physics I,ku002,165115,0.0,0,0,0,0.2,0
408,General Physics I,ku002,165124,0.0,0,0,0,0.0,0
409,General Physics I,ku002,165136,0.0,0,0,0,0.0,0
410,General Physics I,ku002,165146,0.14,0,0,0,0.27,2
411,General Physics I,ku002,165149,0.0,0,0,0,0.0,0
412,General Physics I,ku002,165160,0.18,0,0,0,0.27,2
413,General Physics I,ku002,165173,0.0,0,0,0,0.0,0
414,General Physics I,ku002,165218,0.0,0,0,0,0.0,0
415,General Physics I,ku002,165247,0.0,0,0,0,0.0,0
416,General Physics I,ku002,165241,0.14,0,0,0,0.27,2
417,General Physics I,ku002,165239,0.16,0,0,0,0.27,2
418,General Physics I,ku002,165256,0.0,0,0,0,0.0,0
419,General Physics I,ku002,164713,0.0,0,0,0,0.0,0
420,General Physics I,ku002,165308,0.15,0,0,0,0.27,2
421,General Physics I,ku002,165383,0.0,0,0,0,0.0,0
422,General Physics I,ku002,162512,0.0,0,0,0,0.0,0
423,General Physics I,ku002,162362,0.16,0,0,0,0.27,2
424,General Physics I,ku002,165554,0.18,0,0,0,0.27,2
425,General Physics I,ku002,165559,0.14,0,0,0,0.27,2
426,General Physics I,ku002,165563,0.0,0,0,0,0.0,0
427,General Physics I,ku002,162341,0.01,0,0,0,0.07,0
428,General Physics I,ku002,160985,0.0,0,0,0,0.0,0
429,General Physics I,ku002,165590,0.0,0,0,0,0.0,0
430,General Physics I,ku002,165611,0.22,0,0,0,0.33,2
431,General Physics I,ku002,164678,0.0,0,0,0,0.0,0
432,General Physics I,ku002,165013,0.08,0,0,0,0.13,0
433,General Physics I,ku002,165305,0.09,0,0,0,0.13,0
434,General Physics I,ku002,165689,0.0,0,0,0,0.0,0
435,General Physics I,ku002,165724,0.0,0,0,0,0.0,0
436,General Physics I,ku002,165727,0.0,0,0,0,0.0,0
437,General Physics I,ku002,165779,0.0,0,0,0,0.0,0
438,General Physics I,ku002,106826,0.0,0,0,0,0.0,0
439,General Physics I,ku002,165785,0.0,0,0,0,0.07,0
440,General Physics I,ku002,164816,0.17,0,0,0,0.27,2
441,General Physics I,ku002,165827,0.0,0,0,0,0.0,0
442,General Physics I,ku002,165850,0.58,1,1,1,0.53,2
443,General Physics I,ku002,165857,0.22,0,0,0,0.4,2
